seed_name,query_name,ref_name,estimation,query_time,ref_time
7-mers,query1 | len_10000 ,query1+1080 | len_10073 +1080 ,0.008374457903394646,0.000316768,0.000027281
7-mers,query1 | len_10000 ,query1+1085 | len_9996 +1085 ,0.018514811849479583,0.000316768,0.00002712
7-mers,query1 | len_10000 ,query1+1090 | len_10013 +1090 ,0.0022998850057497125,0.000316768,0.00002675
7-mers,query1 | len_10000 ,query1+1095 | len_9981 +1095 ,0.010516300265411388,0.000316768,0.000028684
7-mers,query1 | len_10000 ,query1+1100 | len_10044 +1100 ,0.018869808306709264,0.000316768,0.000028122
7-mers,query1 | len_10000 ,query1+1105 | len_10008 +1105 ,0.00620124024804961,0.000316768,0.000036808
7-mers,query1 | len_10000 ,query1+1110 | len_9993 +1110 ,0.0010009509033581904,0.000316768,0.000026128
7-mers,query1 | len_10000 ,query1+1115 | len_10028 +1115 ,0.015287769784172662,0.000316768,0.000026539
7-mers,query1 | len_10000 ,query1+1120 | len_9957 +1120 ,0.02456756079217849,0.000316768,0.00002674
7-mers,query1 | len_10000 ,query1+1125 | len_9999 +1125 ,0.020413268624605994,0.000316768,0.000026209
7-mers,query1 | len_10000 ,query1+1130 | len_10033 +1130 ,0.027870735727486138,0.000316768,0.000029464
7-mers,query1 | len_10000 ,query1+1135 | len_10027 +1135 ,0.015188608543592306,0.000316768,0.000028583
7-mers,query1 | len_10000 ,query1+1140 | len_9942 +1140 ,0.00020070245860511792,0.000316768,0.000028503
7-mers,query1 | len_10000 ,query1+1145 | len_9982 +1145 ,0.00971457185778668,0.000316768,0.000028563
7-mers,query1 | len_10000 ,query1+1150 | len_9983 +1150 ,0.00791147163386911,0.000316768,0.000028362
7-mers,query1 | len_10000 ,query1+1155 | len_9990 +1155 ,0.009710681749924918,0.000316768,0.000028513
7-mers,query1 | len_10000 ,query1+1160 | len_10008 +1160 ,0.02450490098019604,0.000316768,0.000033171
7-mers,query1 | len_10000 ,query1+1165 | len_10049 +1165 ,0.007685781304586515,0.000316768,0.000028523
7-mers,query1 | len_10000 ,query1+1170 | len_10073 +1170 ,0.003589053387169134,0.000316768,0.000028643
7-mers,query1 | len_10000 ,query1+1175 | len_10067 +1175 ,0.007778608825729245,0.000316768,0.000028843
7-mers,query1 | len_10000 ,query1+1180 | len_9963 +1180 ,0.011227507393113127,0.000316768,0.000028783
7-mers,query1 | len_10000 ,query1+1185 | len_10028 +1185 ,0,0.000316768,0.000029965
7-mers,query1 | len_10000 ,query1+1190 | len_10037 +1190 ,0.009687890137328339,0.000316768,0.000028934
7-mers,query1 | len_10000 ,query1+1195 | len_9997 +1195 ,0.018413810357768325,0.000316768,0.000030617
7-mers,query1 | len_10000 ,query1+1200 | len_9984 +1200 ,0.0031043460845183255,0.000316768,0.000029164
7-mers,query1 | len_10000 ,query1+1205 | len_10032 +1205 ,0.003196803196803197,0.000316768,0.000028774
7-mers,query1 | len_10000 ,query1+1210 | len_10000 +1210 ,0.010606363818290974,0.000316768,0.000028422
7-mers,query1 | len_10000 ,query1+1215 | len_9991 +1215 ,0.007207567946343661,0.000316768,0.000028493
7-mers,query1 | len_10000 ,query1+1220 | len_10002 +1220 ,0.030215107553776887,0.000316768,0.000028653
7-mers,query1 | len_10000 ,query1+1225 | len_10018 +1225 ,0.01359592122363291,0.000316768,0.000028603
7-mers,query1 | len_10000 ,query1+1230 | len_10033 +1230 ,0.0009989511013435892,0.000316768,0.00002668
7-mers,query1 | len_10000 ,query1+1235 | len_10014 +1235 ,0.013398660133986601,0.000316768,0.000024406
7-mers,query1 | len_10000 ,query1+1240 | len_9975 +1240 ,0.02444522366377799,0.000316768,0.000024495
7-mers,query1 | len_10000 ,query1+1245 | len_9980 +1245 ,0.013521634615384616,0.000316768,0.000024545
7-mers,query1 | len_10000 ,query1+1250 | len_9986 +1250 ,0.032942825673375385,0.000316768,0.000024476
7-mers,query1 | len_10000 ,query1+1255 | len_9986 +1255 ,0,0.000316768,0.000024445
7-mers,query1 | len_10000 ,query1+1260 | len_9967 +1260 ,0.007015785517414182,0.000316768,0.000024966
7-mers,query1 | len_10000 ,query1+1265 | len_9991 +1265 ,0.010811351919515492,0.000316768,0.000024616
7-mers,query1 | len_10000 ,query1+1270 | len_9988 +1270 ,0.005907088506207449,0.000316768,0.000024405
7-mers,query1 | len_10000 ,query1+1275 | len_9971 +1275 ,0.001302670474472669,0.000316768,0.000024877
7-mers,query1 | len_10000 ,query1+1280 | len_9997 +1280 ,0.02411808856642482,0.000316768,0.000025377
